Hours,Score
2,11
6,59
8,79
4,45
2,15
5,59
6,58
3,33
8,82
7,74
8,77
6,50
7,75
2,17
9,89
4,31
1,2
8,70
6,65
6,57
2,18
2,27
2,14
10,95
5,47
10,98
0,0
1,6
2,25
3,29
6,64
10,100
4,31
10,96
3,26
3,24
4,38
0,0
7,71
5,45
4,43
9,80
8,74
7,63
6,53
10,100
4,39
7,79
9,85
0,9
4,42
4,33
1,19
10,91
8,71
9,85
2,24
10,97
6,56
7,76
10,100
3,25
7,65
2,17
6,54
10,98
8,87
5,48
4,43
8,84
7,67
10,100
5,43
0,0
0,9
5,59
8,79
0,0
0,0
9,96
7,68
4,37
4,50
2,17
0,0
2,27
2,27
4,44
8,79
9,81
9,98
1,20
0,8
5,60
10,93
9,97
7,68
2,24
4,48
1,8
7,70
2,16
7,69
2,10
2,27
10,100
8,87
6,56
9,94
3,29
9,100
5,50
4,35
9,82
0,4
4,34
0,0
9,81
2,15
9,93
2,29
3,31
7,69
4,33
4,33
1,15
4,32
4,50
8,81
4,37
4,39
3,33
4,44
2,12
10,90
10,100
2,24
10,93
8,87
1,16
1,7
7,60
5,47
8,87
6,58
7,77
8,85
6,67
5,48
10,100
6,69
8,83
5,56
1,10
9,99
8,81
1,10
8,78
1,14
6,54
9,94
10,100
2,12
8,88
7,60
4,41
1,6
7,60
3,36
9,99
4,50
1,14
5,48
1,18
8,87
4,44
4,43
6,58
4,39
0,3
8,87
6,63
8,86
6,68
3,40
2,15
7,71
10,93
7,65
10,95
1,12
9,82
6,70
5,59
2,13
2,11
5,46
2,28
0,0
6,55
1,18
3,23
10,100
9,95
5,60
3,37
3,39
6,57
0,5
10,90
2,10
6,66
1,3
2,17
9,100
10,95
6,60
5,45
9,99
10,92
4,31
0,0
9,99
7,77
8,80
10,100
4,47
2,23
3,20
0,0
8,83
5,59
4,31
3,38
9,95
5,42
5,44
10,100
10,100
0,2
0,0
9,87
4,47
1,5
1,15
3,24
4,34
1,3
3,35
4,33
5,47
3,33
1,19
2,24
0,2
1,9
9,83
8,80
1,11
1,17
6,60
4,34
5,52
2,23
0,0
9,91
4,43
5,48
3,35
4,45
5,60
3,29
7,66
9,91
6,65
5,49
0,9
0,8
8,73
3,22
6,63
9,95
9,98
4,37
1,15
9,82
9,88
9,82
0,0
2,14
3,40
8,71
10,95
7,70
0,1
0,7
9,88
8,80
1,18
8,81
10,100
6,51
2,28
7,78
4,30
8,77
1,17
9,96
8,79
10,95
1,7
0,0
10,90
10,93
0,0
4,44
10,100
5,43
0,0
6,51
0,0
3,33
5,54
8,85
9,87
4,48
6,63
5,43
8,81
4,32
3,32
10,100
8,83
4,38
8,85
3,26
9,97
2,12
1,4
5,44
0,0
0,3
10,95
10,100
9,83
1,6
1,20
1,3
5,42
7,79
4,48
3,22
3,34
9,90
4,46
1,13
4,35
5,40
0,10
9,85
5,52
2,27
7,62
3,30
9,94
5,55
0,10
7,74
7,79
1,9
4,32
4,36
8,83
8,70
7,62
3,27
10,100
0,0
6,70
4,48
0,9
8,84
2,30
7,67
9,99
5,50
8,89
3,23
10,93
5,57
1,4
3,40
10,100
0,0
10,100
0,0
8,86
5,41
6,65
5,40
4,33
4,50
0,0
1,0
7,77
2,24
4,47
5,44
6,51
0,4
5,52
5,55
5,57
10,100
1,11
1,20
6,60
1,3
6,64
8,84
10,100
1,12
6,51
0,2
7,63
1,16
1,10
1,10
6,50
0,0
9,86
9,98
6,60
6,63
8,77
0,5
5,59
0,0
3,34
8,72
7,78
0,0
4,44
7,68
9,89
5,47
3,20
6,67
3,25
9,99
0,0
2,13
0,0
0,0
6,50
6,67
8,72
7,67
5,57
8,70
4,33
9,99
9,99
10,95
8,84
0,0
6,60
9,90
7,72
5,44
2,12
6,67
7,60
8,70
8,80
3,39
2,10
6,62
4,41
0,0
6,53
1,17
2,17
1,11
8,75
0,3
4,30
0,0
4,42
10,100
4,31
6,52
0,9
5,45
5,57
0,4
3,33
2,15
1,11
5,51
6,67
9,90
9,92
7,73
8,75
5,43
7,73
5,59
8,84
10,100
8,70
5,46
1,9
2,28
2,27
9,92
3,21
0,0
2,23
1,19
0,2
8,79
5,41
5,47
2,24
7,60
10,96
7,68
9,93
7,65
6,63
4,42
6,64
3,38
5,51
0,8
10,100
0,1
6,65
1,2
5,50
2,13
6,69
3,40
5,48
10,95
9,97
8,85
4,39
9,96
5,52
1,14
0,0
3,25
6,56
1,19
2,30
9,86
8,74
10,91
7,60
9,93
6,55
0,0
